"account","userName","eventSource","eventName","calls"
"362055466028","AWSServiceRoleForResourceExplorer","rds.amazonaws.com","DescribeDBClusterSnapshots","8"
"693590665244","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetOutcomes","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketMetadataTableConfiguration","8"
"362055466028","AWSServiceRoleForResourceExplorer","pinpoint.amazonaws.com","ListTemplates","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketReplication","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketNotification","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketAbac","8"
"693590665244","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetEventTypes","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetAccelerateConfiguration","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","ListTagsForResource","8"
"693590665244","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetModels","8"
"151676528673","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetDetectors","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","logs.amazonaws.com","DescribeLogGroups","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketWebsite","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketLifecycle","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketVersioning","8"
"651295191577","AWSServiceRoleForResourceExplorer","eks.amazonaws.com","ListEksAnywhereSubscriptions","8"
"151676528673","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetExternalModels","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketMetricsConfiguration","8"
"693590665244","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetDetectors","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketPublicAccessBlock","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketAnalyticsConfiguration","8"
"693590665244","AWSServiceRoleForResourceExplorer","ec2.amazonaws.com","DescribeSubnets","8"
"362055466028","AWSServiceRoleForResourceExplorer","iotsitewise.amazonaws.com","ListPortals","8"
"045107234435","youtube_video_generator-role","logs.amazonaws.com","CreateLogStream","8"
"362055466028","AWSServiceRoleForResourceExplorer","eks.amazonaws.com","ListEksAnywhereSubscriptions","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","ssm.amazonaws.com","ListTagsForResource","8"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","ssm.amazonaws.com","AddTagsToResource","8"
"362055466028","AWSServiceRoleForResourceExplorer","rds.amazonaws.com","DescribeEventSubscriptions","8"
"362055466028","AWSServiceRoleForResourceExplorer","rds.amazonaws.com","DescribeDBClusters","8"
"651295191577","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetEntityTypes","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketMetadataConfiguration","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketCors","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketEncryption","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketInventoryConfiguration","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketLogging","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketIntelligentTieringConfiguration","8"
"362055466028","AWSServiceRoleForResourceExplorer","ssm.amazonaws.com","DescribeMaintenanceWindows","7"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-2","ssm.amazonaws.com","GetParameter","7"
"362055466028","AWSServiceRoleForResourceExplorer","rds.amazonaws.com","DescribeDBSubnetGroups","7"
"693590665244","AWSServiceRoleForResourceExplorer","lambda.amazonaws.com","GetFunction20150331v2","7"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-1","cloudformation.amazonaws.com","CreateChangeSet","7"
"693590665244","AWSServiceRoleForResourceExplorer","lambda.amazonaws.com","GetFunctionRecursionConfig","7"
"651295191577","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetExternalModels","7"
"693590665244","AWSServiceRoleForResourceExplorer","iam.amazonaws.com","GetPolicy","7"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-1","cloudformation.amazonaws.com","DeleteChangeSet","7"
"362055466028","AWSServiceRoleForResourceExplorer","transfer.amazonaws.com","ListServers","7"
"362055466028","AWSServiceRoleForResourceExplorer","s3.amazonaws.com","GetBucketLogging","7"
"362055466028","AWSServiceRoleForResourceExplorer","rds.amazonaws.com","DescribeDBClusterParameterGroups","7"
"693590665244","AWSServiceRoleForResourceExplorer","kms.amazonaws.com","Decrypt","7"
"693590665244","AWSServiceRoleForResourceExplorer","iam.amazonaws.com","GetPolicyVersion","7"
"362055466028","AWSServiceRoleForResourceExplorer","rds.amazonaws.com","DescribeDBInstances","7"
"151676528673","AWSServiceRoleForResourceExplorer","eks.amazonaws.com","ListEksAnywhereSubscriptions","7"
"362055466028","AWSServiceRoleForResourceExplorer","autoscaling.amazonaws.com","DescribeAutoScalingGroups","7"
"362055466028","AWSServiceRoleForResourceExplorer","config.amazonaws.com","DescribeConfigRules","7"
"362055466028","AWSServiceRoleForSSO","organizations.amazonaws.com","ListDelegatedAdministrators","7"
"045107234435","BackupWebsiteBucket-BackupBucketSSMReplicatorReplic-WFSa2WZ86Sy2","kms.amazonaws.com","Decrypt","7"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-1","kms.amazonaws.com","Decrypt","6"
"362055466028","AWSServiceRoleForResourceExplorer","emr-containers.amazonaws.com","ListSecurityConfigurations","6"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-2","s3.amazonaws.com","GetBucketCors","6"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-2","s3.amazonaws.com","GetBucketMetricsConfiguration","6"
"151676528673","AWSServiceRoleForResourceExplorer","logs.amazonaws.com","ListTagsForResource","6"
"693590665244","AWSServiceRoleForResourceExplorer","guardduty.amazonaws.com","ListDetectors","6"
"651295191577","GitHubActionsDeploymentRole-us-east-2-651295191577","iam.amazonaws.com","GetRolePolicy","6"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-2","s3.amazonaws.com","GetAccelerateConfiguration","6"
"045107234435","cdk-hnb659fds-file-publishing-role-045107234435-us-east-2","kms.amazonaws.com","Decrypt","6"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-2","s3.amazonaws.com","GetBucketEncryption","6"
"651295191577","GitHubActionsDeploymentRole-us-east-2-651295191577","dynamodb.amazonaws.com","ListTagsOfResource","6"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-2","s3.amazonaws.com","GetBucketLifecycle","6"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-2","s3.amazonaws.com","GetBucketAbac","6"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","kms.amazonaws.com","CreateGrant","6"
"693590665244","GitHubActionsDeploymentRole-us-east-2-693590665244","dynamodb.amazonaws.com","ListTagsOfResource","6"
"693590665244","GitHubActionsDeploymentRole-us-east-2-693590665244","iam.amazonaws.com","GetRolePolicy","6"
"693590665244","cdk-hnb659fds-file-publishing-role-693590665244-us-east-1","kms.amazonaws.com","GenerateDataKey","6"
"651295191577","AWSServiceRoleForResourceExplorer","eks.amazonaws.com","ListClusters","6"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-2","s3.amazonaws.com","GetBucketIntelligentTieringConfiguration","6"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","lambda.amazonaws.com","PublishLayerVersion20181031","6"
"362055466028","AWSServiceRoleForResourceExplorer","ec2.amazonaws.com","GetSubnetCidrReservations","6"
"651295191577","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetOutcomes","6"
